canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
AMD Ryzen Threadripper PRO 5995WX,Ryzen Threadripper PRO 5995WX,AMD,108822,64,280.0,sWRX8,Desktop
AMD EPYC 7763,EPYC 7763,AMD,88338,64,280.0,SP3,Server
AMD EPYC 7J13,EPYC 7J13,AMD,86006,64,,unknown,Server
AMD EPYC 7713,EPYC 7713,AMD,85861,64,225.0,SP3,Server
AMD Ryzen Threadripper PRO 3995WX,Ryzen Threadripper PRO 3995WX,AMD,83971,64,280.0,sWRX8,Desktop
AMD Ryzen Threadripper 3990X,Ryzen Threadripper 3990X,AMD,81568,64,280.0,sTRX4,Desktop
AMD Ryzen Threadripper PRO 5975WX,Ryzen Threadripper PRO 5975WX,AMD,80842,32,280.0,sWRX8,Desktop
AMD EPYC 7B13,EPYC 7B13,AMD,77460,60,,unknown,Server
AMD EPYC 7643,EPYC 7643,AMD,76455,48,225.0,SP3,Server
AMD EPYC 7702,EPYC 7702,AMD,71646,64,200.0,SP3,Server
AMD EPYC 7662,EPYC 7662,AMD,71576,64,225.0,SP3,Server
AMD EPYC 7742,EPYC 7742,AMD,68749,64,225.0,SP3,Server
AMD EPYC 75F3,EPYC 75F3,AMD,68505,32,280.0,SP3,Server
AMD Ryzen Threadripper PRO 5965WX,Ryzen Threadripper PRO 5965WX,AMD,68405,24,280.0,sWRX8,Desktop
AMD EPYC 7642,EPYC 7642,AMD,67748,48,225.0,SP3,Server
AMD EPYC 7543P,EPYC 7543P,AMD,67144,32,225.0,SP3,Server
AMD EPYC 7R32,EPYC 7R32,AMD,64727,48,,unknown,Server
AMD Ryzen Threadripper 3970X,Ryzen Threadripper 3970X,AMD,63835,32,280.0,sTRX4,Desktop
AMD Ryzen Threadripper PRO 3975WX,Ryzen Threadripper PRO 3975WX,AMD,63495,32,280.0,sWRX8,Desktop
Intel Xeon Platinum 8380,Xeon Platinum 8380,Intel,62317,40,270.0,FCLGA4189,Server
AMD EPYC 7702P,EPYC 7702P,AMD,61689,64,200.0,SP3,Server
AMD EPYC 74F3,EPYC 74F3,AMD,60948,24,240.0,SP3,Server
