canonical_name,benchmark_score,tier
AMD Ryzen Threadripper PRO 5995WX,108822,S
AMD EPYC 7763,88338,S
AMD EPYC 7J13,86006,S
AMD EPYC 7713,85861,S
AMD Ryzen Threadripper PRO 3995WX,83971,S
AMD Ryzen Threadripper 3990X,81568,S
AMD Ryzen Threadripper PRO 5975WX,80842,S
AMD EPYC 7B13,77460,S
AMD EPYC 7643,76455,S
AMD EPYC 7702,71646,S
AMD EPYC 7662,71576,S
AMD EPYC 7742,68749,S
AMD EPYC 75F3,68505,S
AMD Ryzen Threadripper PRO 5965WX,68405,S
AMD EPYC 7642,67748,S
AMD EPYC 7543P,67144,S
AMD EPYC 7R32,64727,S
AMD Ryzen Threadripper 3970X,63835,S
AMD Ryzen Threadripper PRO 3975WX,63495,S
Intel Xeon Platinum 8380,62317,S
AMD EPYC 7702P,61689,S
AMD EPYC 74F3,60948,S
AMD EPYC 7513,59732,S
AMD EPYC 7443P,57666,S
AMD EPYC 7542,56728,S
AMD EPYC 7543,56562,S
AMD EPYC 7532,55358,S
AMD Ryzen Threadripper 3960X,54757,S
Intel Xeon Platinum 8358,54416,S
AMD EPYC 7453,53511,S
Intel Xeon Gold 6348,53112,S
Intel Xeon Platinum 8375C,51836,S
AMD Ryzen Threadripper PRO 5955WX,51656,S
AMD EPYC 7402,51368,S
Intel Xeon Platinum 8347C,49386,S
AMD EPYC 7502,49177,S
AMD EPYC 7502P,48995,S
Intel Xeon Gold 6342,48330,S
AMD EPYC 7413,46295,S
AMD Ryzen 9 5950X,46195,S
AMD EPYC 73F3,46085,S
AMD EPYC 7343,45882,S
AMD EPYC 7713P,45860,S
Intel Xeon Gold 6336Y,45517,S
Intel Core i9-12900KS,44243,S
Intel Xeon Gold 6312U,43745,S
Intel Xeon Gold 6330,43056,S
AMD EPYC 7601,42244,S
AMD EPYC 7452,41871,S
AMD EPYC 7402P,41741,S
AMD Ryzen Threadripper PRO 5945WX,41578,S
Intel Xeon Gold 6354,41434,S
Apple M1 Ultra 20 Core,41360,S
Intel Core i9-12900KF,41163,S
Intel Core i9-12900K,41077,S
AMD EPYC 7F52,40951,S
AMD EPYC 7313P,40879,S
Intel Xeon Platinum 8275CL,40794,S
Intel Xeon W-3275M,40767,S
AMD EPYC 7313,40575,S
AMD EPYC 7352,40472,S
AMD Ryzen Threadripper PRO 3955WX,40225,S
Intel Xeon W-3265M,39620,S
AMD Ryzen 9 5900X,39457,S
AMD Ryzen 9 3950X,39157,S
Intel Xeon W-3335,38944,S
Intel Xeon Gold 6248R,38604,S
Intel Core i9-12900,38281,S
ARM Neoverse-N1 80 Core 3000 MHz,38122,S
ARM Neoverse-N1 80 Core 0 MHz,37809,S
Intel Xeon Gold 6346,37606,S
Intel Xeon Platinum 8280,37575,S
Intel Xeon Gold 6238R,37511,S
Intel Xeon Silver 4316,37264,S
Intel Xeon W-3175X,37167,S
