gpu_name,manufacturer,benchmark_score,graphics_api_score,vram_gb,release_year
RTX 3090 Ti,NVIDIA,29094,210406.0,,2022
RTX 3080 Ti,NVIDIA,26887,192190.0,,2021
RTX 3090,NVIDIA,26395,193968.0,,2020
RX 6900 XT,AMD,25458,136693.0,,2020
RTX 3080,NVIDIA,24853,171433.0,,2020
RTX 3070 Ti,NVIDIA,23367,139298.0,,2021
RX 6800 XT,AMD,23364,136290.0,,2020
RTX A5000,NVIDIA,22867,156140.0,,2021
RTX A6000,NVIDIA,22122,178059.0,,2021
RTX 3070,NVIDIA,22093,128259.0,,2020
RTX 2080 Ti,NVIDIA,21796,151444.0,,2018
RTX A4500,NVIDIA,21546,163533.0,,2022
RX 6800,AMD,20667,107762.0,,2020
RTX 3060 Ti,NVIDIA,20206,114665.0,,2020
TITAN RTX,NVIDIA,20169,138830.0,,2018
Quadro RTX 6000,NVIDIA,19692,132375.0,,2018
RTX 2080 SUPER,NVIDIA,19519,111542.0,,2019
TITAN Xp,NVIDIA,19508,70819.0,,2020
RTX 3080 Ti Laptop GPU,NVIDIA,19507,125090.0,,2022
Quadro RTX 8000,NVIDIA,19126,119838.0,,2019
RX 6700 XT,AMD,18993,86536.0,,2021
RTX A4000,NVIDIA,18988,108029.0,,2021
TITAN V,NVIDIA,18816,152587.0,,2017
PRO W6800,AMD,18802,97754.0,,2021
RTX 2080,NVIDIA,18732,104573.0,,2018
TITAN Xp COLLECTORS EDITION,NVIDIA,18721,55651.0,,2017
RTX 3070 Ti Laptop GPU,NVIDIA,18490,114243.0,,2022
GTX 1080 Ti,NVIDIA,18284,58302.0,11.0,2017
RTX 2070 SUPER,NVIDIA,18168,96013.0,,2019
Quadro GV100,NVIDIA,17675,162000.0,,2018
TITAN V CEO Edition,NVIDIA,16988,,,2018
RTX 3060,NVIDIA,16958,90158.0,,2021
RX 5700 XT,AMD,16892,65069.0,,2019
Pro VII,AMD,16853,85607.0,,2020
VII,AMD,16767,73980.0,,2019
RX 5700 XT 50th Anniversary,AMD,16650,62128.0,,2019
RTX 3080 Laptop GPU,NVIDIA,16522,118582.0,,2021
RTX 2060 SUPER,NVIDIA,16514,84667.0,,2019
RTX A4000 Laptop GPU,NVIDIA,16297,99503.0,,2021
RTX A5000 Laptop GPU,NVIDIA,16273,116565.0,,2021
Quadro RTX 5000,NVIDIA,16260,98502.0,,2019
Tesla V100 SXM2 16GB,NVIDIA,16235,173360.0,,2019
Quadro GP100,NVIDIA,16203,87744.0,,2017
RTX 2070,NVIDIA,16079,85119.0,,2018
RadeonT RX 6850M,AMD,15899,,,2022
RX 6600 XT,AMD,15853,73476.0,,2021
Quadro P6000,NVIDIA,15811,60579.0,,2016
Quadro RTX 4000,NVIDIA,15515,82076.0,,2019
GTX 1080,NVIDIA,15265,49137.0,8.0,2016
RTX 3070 Laptop GPU,NVIDIA,15231,106182.0,,2021
RTX 2080 (Mobile),NVIDIA,15107,,,2019
Pro W5700,AMD,15085,53289.0,,2020
Quadro RTX 5000 (Mobile),NVIDIA,14832,,,2019
Pro Vega II,AMD,14738,93811.0,,2020
RX 5700,AMD,14729,53510.0,,2019
RX Vega 64,AMD,14636,58456.0,,2017
Pro Vega 64X,AMD,14630,69634.0,,2021
GTX 1070 Ti,NVIDIA,14500,45948.0,,2017
RTX 2070 Super with Max Q Design,NVIDIA,14261,77930.0,,2020
PRO W6600,AMD,14212,68311.0,,2021
Pro WX 8200,AMD,14110,62892.0,,2018
RTX 2080 Super with Max Q Design,NVIDIA,14020,87469.0,,2020
RTX 2060,NVIDIA,13953,69873.0,,2019
Quadro RTX 5000 with Max Q Design,NVIDIA,13893,85977.0,,2019
RX 6600,AMD,13881,71228.0,,2021
GTX 980 Ti,NVIDIA,13864,37607.0,,2015
RX 5600 XT,AMD,13836,54177.0,,2020
Vega Frontier Edition,AMD,13748,63066.0,,2017
RTX A2000 12GB,NVIDIA,13688,81296.0,,2022
RTX 2080 with Max Q Design,NVIDIA,13681,85454.0,,2019
TITAN X,NVIDIA,13660,,,2016
RX Vega 56,AMD,13636,55009.0,,2017
Quadro RTX 4000 with Max Q Design,NVIDIA,13622,65173.0,,2019
GTX 1070,NVIDIA,13482,41308.0,8.0,2016
Tesla T10,NVIDIA,13264,,,2020
RTX A3000 Laptop GPU,NVIDIA,13263,82893.0,,2021
Pro WX 9100,AMD,13241,64132.0,,2017
GTX TITAN X,NVIDIA,13173,36204.0,,2015
RTX A2000,NVIDIA,13128,72918.0,,2021
Quadro RTX 4000 (Mobile),NVIDIA,13008,,,2019
Pro V520 MxGPU,AMD,12853,61506.0,,2020
GTX 1660 SUPER,NVIDIA,12732,60517.0,,2019
RTX 3050,NVIDIA,12718,66925.0,,2022
RTX 3060 Laptop GPU,NVIDIA,12674,87446.0,,2021
Pro 5700 XT,AMD,12537,52376.0,,2020
Pro Vega 64,AMD,12402,68457.0,,2018
Pro Vega 56,AMD,12386,63022.0,,2018
RTX 2070 (Mobile),NVIDIA,12354,,,2019
Quadro P5200 with Max Q Design,NVIDIA,12323,47911.0,,2018
Quadro M6000 24GB,NVIDIA,12264,33864.0,,2016
Quadro P5200,NVIDIA,12144,48032.0,,2018
RTX 2070 with Max Q Design,NVIDIA,12062,74680.0,,2019
RX 6700S,AMD,11989,72317.0,,2022
Quadro P5000,NVIDIA,11976,49229.0,,2016
Quadro P4200 with Max Q Design,NVIDIA,11869,40459.0,,2018
Pro 5700,AMD,11844,49976.0,,2020
GTX 1660 Ti,NVIDIA,11794,60430.0,,2019
GTX 1660,NVIDIA,11695,55748.0,,2019
Tesla M40 24GB,NVIDIA,11658,33410.0,,2021
GTX 1080 with Max Q Design,NVIDIA,11507,50722.0,,2017
Pro Vega 48,AMD,11504,54173.0,,2019
RX 6700M,AMD,11499,71903.0,,2021
Quadro P4000,NVIDIA,11422,40941.0,,2017
Quadro M6000,NVIDIA,11397,38339.0,,2015
RTX 2060 (Mobile),NVIDIA,11355,,,2019
GTX 980,NVIDIA,11237,29945.0,,2014
Quadro RTX 3000,NVIDIA,11122,61866.0,,2019
Tesla T4,NVIDIA,11113,67163.0,,2020
RX 5600,AMD,11030,43052.0,,2020
Pro SSG,AMD,10498,,,2018
Instinct MI25 MxGPU,AMD,10466,18731.0,,2020
GTX 1070 (Mobile),NVIDIA,10465,,,2019
Pro 5600M,AMD,10200,41841.0,,2020
GTX 1660 Ti (Mobile),NVIDIA,10176,,,2019
RTX A2000 Laptop GPU,NVIDIA,10148,55227.0,,2021
Tesla M40,NVIDIA,10117,38024.0,,2021
R9 Fury X,AMD,10088,,,2020
GTX 1060,NVIDIA,10070,27131.0,6.0,2016
GTX 1650 SUPER,NVIDIA,10032,53390.0,,2019
GTX 1070 with Max Q Design,NVIDIA,10030,39756.0,,2017
RTX A3000 12GB Laptop GPU,NVIDIA,9975,,,2022
Quadro P4200,NVIDIA,9827,37922.0,,2018
RTX 2060 with Max Q Design,NVIDIA,9743,60347.0,,2020
R9 Fury + Fury X,AMD,9741,,,2015
GTX 1060 3GB,NVIDIA,9728,28336.0,3.0,2016
GTX 970,NVIDIA,9688,25691.0,,2014
RX 590,AMD,9665,49946.0,,2018
R9 Fury,AMD,9551,60301.0,,2015
R9 390X,AMD,9503,,8.0,2016
Quadro P2200,NVIDIA,9486,32281.0,,2019
Ryzen 9 4900HSS,AMD,9461,,,2021
RTX 3050 Ti Laptop GPU,NVIDIA,9452,60428.0,,2021
RX 6500 XT,AMD,9445,46252.0,,2022
GTX 780 Ti,NVIDIA,9312,21560.0,3.0,2013
Pro W5500,AMD,9269,36343.0,,2020
Quadro M5000,NVIDIA,9262,28723.0,,2015
Quadro P3200 with Max Q Design,NVIDIA,9242,31434.0,,2018
GTX TITAN Z,NVIDIA,9189,21053.0,,2014
RX 5500 XT,AMD,9188,38803.0,,2019
GTX TITAN Black,NVIDIA,9140,20240.0,,2014
RX 6600M,AMD,9094,55682.0,,2021
Quadro P4000 with Max Q Design,NVIDIA,9083,,,2017
RTX 3050 Laptop GPU,NVIDIA,9037,53639.0,,2021
RX 6800M,AMD,9012,74528.0,,2021
R9 390,AMD,9008,47961.0,8.0,2016
RX 580,AMD,8907,45400.0,,2017
Ryzen 7 4800HS,AMD,8842,,,2021
RX 5500,AMD,8817,37402.0,,2019
R9 290X,AMD,8794,46018.0,4.0,2020
Quadro RTX 3000 with Max Q Design,NVIDIA,8754,59905.0,,2019
GTX 1060 5GB,NVIDIA,8704,33511.0,,2018
RX 480,AMD,8674,45295.0,,2016
Quadro P3200,NVIDIA,8663,31309.0,,2018
GTX 1660 Ti with Max Q Design,NVIDIA,8646,54832.0,,2019
RX590 GME,AMD,8628,,,2020
R9 295X2,AMD,8619,,8.0,2014
Ryzen 9 4900HS,AMD,8572,,,2021
GTX Titan,NVIDIA,8556,,6.0,2013
Ryzen 9 5900HS,AMD,8428,,,2021
R9 290,AMD,8409,,4.0,2020
R9 290X / 390X,AMD,8389,,,2013
Pro Duo,AMD,8324,55841.0,,2016
Pro 5500 XT,AMD,8298,36736.0,,2020
15FF,Unknown,8229,,,2020
GTX 1060 (Mobile),NVIDIA,8161,,,2019
R9 290 / 390,AMD,8150,,,2013
Quadro K6000,NVIDIA,8108,17232.0,12.0,2013
RX 470/570,AMD,8070,,,2016
GTX 780,NVIDIA,8022,17698.0,3.0,2013
RTX 2050,NVIDIA,8007,45986.0,,2022
Ryzen 5 4600HS,AMD,7942,,,2021
Quadro M5500,NVIDIA,7915,,,2016
GTX 1060 with Max Q Design,NVIDIA,7907,30110.0,,2017
T1200 Laptop GPU,Unknown,7884,41258.0,,2021
T1000,Unknown,7829,36253.0,,2021
Pro WX 7100,AMD,7822,37123.0,,2016
GTX 1650,NVIDIA,7807,38160.0,,2019
RX 580X,AMD,7798,41822.0,,2019
Tesla M60,NVIDIA,7771,28425.0,,2017
RX 580 2048SP,AMD,7768,39203.0,,2019
T1000 8GB,Unknown,7760,38230.0,,2022
Pro 580,AMD,7753,45401.0,,2018
FirePro W9100,AMD,7719,43046.0,16.0,2014
RX 5300,AMD,7611,39363.0,,2021
Pro 580X,AMD,7540,40277.0,,2019
Pro 5300,AMD,7522,33776.0,,2020
Tesla M6,NVIDIA,7509,,,2018
GTX 1650 Ti,NVIDIA,7490,43651.0,,2020
Ryzen 7 5800HS with Radeon,AMD,7391,,,2021
FirePro W8100,AMD,7327,34705.0,,2014
RadeonT RX 5300,AMD,7321,,,2021
GTX 980M,NVIDIA,7317,23799.0,,2014
Tesla P100 PCIE 16GB,NVIDIA,7225,74400.0,,2019
Quadro T2000,NVIDIA,7169,38419.0,,2019
RX 5600M,AMD,7157,45916.0,,2020
Quadro P2000,NVIDIA,7096,22896.0,,2017
Ryzen 7 4800HS with Radeon,AMD,6999,,,2020
GTX 1650 (Mobile),NVIDIA,6969,,,2019
