gpu_name,manufacturer,benchmark_score
RTX 3090 Ti,NVIDIA,29094
RTX 3080 Ti,NVIDIA,26887
RTX 3090,NVIDIA,26395
RX 6900 XT,AMD,25458
RTX 3080,NVIDIA,24853
RTX 3070 Ti,NVIDIA,23367
RX 6800 XT,AMD,23364
RTX A5000,NVIDIA,22867
RTX A6000,NVIDIA,22122
RTX 3070,NVIDIA,22093
RTX 2080 Ti,NVIDIA,21796
RTX A4500,NVIDIA,21546
RX 6800,AMD,20667
RTX 3060 Ti,NVIDIA,20206
TITAN RTX,NVIDIA,20169
Quadro RTX 6000,NVIDIA,19692
RTX 2080 SUPER,NVIDIA,19519
TITAN Xp,NVIDIA,19508
RTX 3080 Ti Laptop GPU,NVIDIA,19507
Quadro RTX 8000,NVIDIA,19126
RX 6700 XT,AMD,18993
RTX A4000,NVIDIA,18988
TITAN V,NVIDIA,18816
PRO W6800,AMD,18802
RTX 2080,NVIDIA,18732
TITAN Xp COLLECTORS EDITION,NVIDIA,18721
RTX 3070 Ti Laptop GPU,NVIDIA,18490
RTX 2070 SUPER,NVIDIA,18168
Quadro GV100,NVIDIA,17675
TITAN V CEO Edition,NVIDIA,16988
RTX 3060,NVIDIA,16958
RX 5700 XT,AMD,16892
Pro VII,AMD,16853
VII,AMD,16767
RX 5700 XT 50th Anniversary,AMD,16650
RTX 3080 Laptop GPU,NVIDIA,16522
RTX 2060 SUPER,NVIDIA,16514
RTX A4000 Laptop GPU,NVIDIA,16297
RTX A5000 Laptop GPU,NVIDIA,16273
Quadro RTX 5000,NVIDIA,16260
Tesla V100 SXM2 16GB,NVIDIA,16235
Quadro GP100,NVIDIA,16203
RTX 2070,NVIDIA,16079
RadeonT RX 6850M,AMD,15899
RX 6600 XT,AMD,15853
Quadro P6000,NVIDIA,15811
Quadro RTX 4000,NVIDIA,15515
RTX 3070 Laptop GPU,NVIDIA,15231
RTX 2080 (Mobile),NVIDIA,15107
Pro W5700,AMD,15085
Quadro RTX 5000 (Mobile),NVIDIA,14832
Pro Vega II,AMD,14738
RX 5700,AMD,14729
RX Vega 64,AMD,14636
Pro Vega 64X,AMD,14630
GTX 1070 Ti,NVIDIA,14500
RTX 2070 Super with Max Q Design,NVIDIA,14261
PRO W6600,AMD,14212
Pro WX 8200,AMD,14110
RTX 2080 Super with Max Q Design,NVIDIA,14020
RTX 2060,NVIDIA,13953
Quadro RTX 5000 with Max Q Design,NVIDIA,13893
RX 6600,AMD,13881
GTX 980 Ti,NVIDIA,13864
RX 5600 XT,AMD,13836
Vega Frontier Edition,AMD,13748
RTX A2000 12GB,NVIDIA,13688
RTX 2080 with Max Q Design,NVIDIA,13681
TITAN X,NVIDIA,13660
RX Vega 56,AMD,13636
