gpu_name,manufacturer,benchmark_score,non_gaming_reason
RTX A5000,NVIDIA,22867,Professional/Quadro
RTX A6000,NVIDIA,22122,Professional/Quadro
RTX A4500,NVIDIA,21546,Professional/Quadro
Quadro RTX 6000,NVIDIA,19692,Professional/Quadro
Quadro RTX 8000,NVIDIA,19126,Professional/Quadro
RTX A4000,NVIDIA,18988,Professional/Quadro
TITAN V,NVIDIA,18816,TITAN Compute
Quadro GV100,NVIDIA,17675,Professional/Quadro
TITAN V CEO Edition,NVIDIA,16988,TITAN Compute
RTX A4000 Laptop GPU,NVIDIA,16297,Professional/Quadro
RTX A5000 Laptop GPU,NVIDIA,16273,Professional/Quadro
Quadro RTX 5000,NVIDIA,16260,Professional/Quadro
Tesla V100 SXM2 16GB,NVIDIA,16235,Datacenter/Tesla
Quadro GP100,NVIDIA,16203,Professional/Quadro
Quadro P6000,NVIDIA,15811,Professional/Quadro
Quadro RTX 4000,NVIDIA,15515,Professional/Quadro
Quadro RTX 5000 (Mobile),NVIDIA,14832,Professional/Quadro
Quadro RTX 5000 with Max Q Design,NVIDIA,13893,Professional/Quadro
RTX A2000 12GB,NVIDIA,13688,Professional/Quadro
TITAN X,NVIDIA,13660,Other-Professional
Quadro RTX 4000 with Max Q Design,NVIDIA,13622,Professional/Quadro
Tesla T10,NVIDIA,13264,Datacenter/Tesla
RTX A3000 Laptop GPU,NVIDIA,13263,Professional/Quadro
GTX TITAN X,NVIDIA,13173,Other-Professional
RTX A2000,NVIDIA,13128,Professional/Quadro
Quadro RTX 4000 (Mobile),NVIDIA,13008,Professional/Quadro
Pro V520 MxGPU,AMD,12853,GRID/Virtual
Quadro P5200 with Max Q Design,NVIDIA,12323,Professional/Quadro
Quadro M6000 24GB,NVIDIA,12264,Professional/Quadro
Quadro P5200,NVIDIA,12144,Professional/Quadro
Quadro P5000,NVIDIA,11976,Professional/Quadro
Quadro P4200 with Max Q Design,NVIDIA,11869,Professional/Quadro
Tesla M40 24GB,NVIDIA,11658,Datacenter/Tesla
Quadro P4000,NVIDIA,11422,Professional/Quadro
Quadro M6000,NVIDIA,11397,Professional/Quadro
Quadro RTX 3000,NVIDIA,11122,Professional/Quadro
Tesla T4,NVIDIA,11113,Datacenter/Tesla
Instinct MI25 MxGPU,AMD,10466,GRID/Virtual
RTX A2000 Laptop GPU,NVIDIA,10148,Professional/Quadro
Tesla M40,NVIDIA,10117,Datacenter/Tesla
RTX A3000 12GB Laptop GPU,NVIDIA,9975,Professional/Quadro
Quadro P4200,NVIDIA,9827,Professional/Quadro
Quadro P2200,NVIDIA,9486,Professional/Quadro
Quadro M5000,NVIDIA,9262,Professional/Quadro
Quadro P3200 with Max Q Design,NVIDIA,9242,Professional/Quadro
Quadro P4000 with Max Q Design,NVIDIA,9083,Professional/Quadro
Quadro RTX 3000 with Max Q Design,NVIDIA,8754,Professional/Quadro
Quadro P3200,NVIDIA,8663,Professional/Quadro
15FF,Unknown,8229,Junk/Unknown
Quadro K6000,NVIDIA,8108,Professional/Quadro
Quadro M5500,NVIDIA,7915,Professional/Quadro
Tesla M60,NVIDIA,7771,Datacenter/Tesla
FirePro W9100,AMD,7719,Professional/Quadro
Tesla M6,NVIDIA,7509,Datacenter/Tesla
FirePro W8100,AMD,7327,Professional/Quadro
Tesla P100 PCIE 16GB,NVIDIA,7225,Datacenter/Tesla
Quadro T2000,NVIDIA,7169,Professional/Quadro
Quadro P2000,NVIDIA,7096,Professional/Quadro
Quadro T2000 with Max Q Design,NVIDIA,6871,Professional/Quadro
Quadro M5000M,NVIDIA,6807,Professional/Quadro
Quadro M4000,NVIDIA,6644,Professional/Quadro
Quadro T1000 with Max Q Design,NVIDIA,6589,Professional/Quadro
Quadro P3000,NVIDIA,6572,Professional/Quadro
Quadro M4000M,NVIDIA,6530,Professional/Quadro
Quadro T1000,NVIDIA,6513,Professional/Quadro
FirePro S7150,AMD,6276,Professional/Quadro
FirePro W9000,AMD,6138,Professional/Quadro
P106 100,Unknown,5967,Mining/Compute
A16,Unknown,5797,Junk/Unknown
Quadro K5200,NVIDIA,5780,Professional/Quadro
Quadro M3000M,NVIDIA,5678,Professional/Quadro
Tesla K20m,NVIDIA,5675,Datacenter/Tesla
Tesla K20Xm,NVIDIA,5428,Datacenter/Tesla
FirePro S10000,AMD,5315,Professional/Quadro
FirePro W7100,AMD,5175,Professional/Quadro
FirePro S9000,AMD,5059,Professional/Quadro
EIZO Quadro MED XN51LP,NVIDIA,4955,Professional/Quadro
Barco MXRT 7600,Unknown,4944,Embedded/ISV
FirePro S9050,AMD,4901,Professional/Quadro
GRID RTX6000P 6Q,NVIDIA,4777,GRID/Virtual
Quadro P2000 with Max Q Design,NVIDIA,4597,Professional/Quadro
Quadro P1000,NVIDIA,4466,Professional/Quadro
P104 100,Unknown,4450,Mining/Compute
Citrix Indirect Display Adapter,Unknown,4447,GRID/Virtual
Quadro M2200,NVIDIA,4342,Professional/Quadro
FirePro W7000 Adapter,AMD,4340,Professional/Quadro
GRID GTX P40 6,NVIDIA,4340,GRID/Virtual
Quadro K4200,NVIDIA,4337,Professional/Quadro
Barco MXRT 7500,Unknown,4319,Embedded/ISV
GRID RTX6000P 4Q,NVIDIA,4283,GRID/Virtual
FirePro W7000,AMD,4276,Professional/Quadro
FirePro S7000,AMD,4166,Professional/Quadro
GRID V100D 8Q,Unknown,4156,GRID/Virtual
FirePro W8000,AMD,4138,Professional/Quadro
GRID RTX8000 4Q,NVIDIA,3961,GRID/Virtual
Quadro M2000,NVIDIA,3942,Professional/Quadro
Quadro K5000,NVIDIA,3901,Professional/Quadro
Quadro K2200M,NVIDIA,3877,Professional/Quadro
GRID RTX8000P 2Q,NVIDIA,3843,GRID/Virtual
Quadro P620,NVIDIA,3640,Professional/Quadro
GRID RTX8000 2Q,NVIDIA,3574,GRID/Virtual
Quadro K2200,NVIDIA,3541,Professional/Quadro
Quadro M2000M,NVIDIA,3539,Professional/Quadro
Tesla C2050,NVIDIA,3515,Datacenter/Tesla
Quadro 7000,NVIDIA,3505,Professional/Quadro
Tesla M10,NVIDIA,3490,Datacenter/Tesla
Tesla C2050 / C2070,NVIDIA,3428,Datacenter/Tesla
GRID K520,Unknown,3399,GRID/Virtual
Quadro M1200,NVIDIA,3342,Professional/Quadro
Quadro P600,NVIDIA,3324,Professional/Quadro
Quadro K5100M,NVIDIA,3266,Professional/Quadro
FirePro V7000,AMD,3162,Professional/Quadro
FirePro W7170M,AMD,3162,Professional/Quadro
Tesla C2075,NVIDIA,3118,Datacenter/Tesla
Tesla C2070,NVIDIA,3101,Datacenter/Tesla
FirePro W5000,AMD,3056,Professional/Quadro
EIZO MED X5000,Unknown,3038,Embedded/ISV
Quadro M1000M,NVIDIA,2987,Professional/Quadro
FirePro W5100,AMD,2957,Professional/Quadro
GRID K260Q,Unknown,2949,GRID/Virtual
Quadro K1200,NVIDIA,2874,Professional/Quadro
FirePro W4300,AMD,2863,Professional/Quadro
Pro V340 MxGPU,AMD,2853,GRID/Virtual
Quadro M620,NVIDIA,2845,Professional/Quadro
GRID K280Q,Unknown,2840,GRID/Virtual
FirePro 3D V9800,AMD,2812,Professional/Quadro
Quadro K4100M,NVIDIA,2756,Professional/Quadro
Quadro K5000M,NVIDIA,2754,Professional/Quadro
GRID K2,Unknown,2737,GRID/Virtual
FirePro V9800,AMD,2727,Professional/Quadro
Barco MXRT 5500,Unknown,2702,Embedded/ISV
Quadro K4000,NVIDIA,2700,Professional/Quadro
Quadro 6000,NVIDIA,2689,Professional/Quadro
FirePro M6100 FireGL V,AMD,2656,Professional/Quadro
FirePro R5000,AMD,2647,Professional/Quadro
GRID K240Q,Unknown,2541,GRID/Virtual
FireStream 9370,Unknown,2528,Professional/Quadro
FirePro 3D V8800,AMD,2438,Professional/Quadro
P106 090,Unknown,2402,Mining/Compute
FirePro V7900,AMD,2310,Professional/Quadro
Quadro K3100M,NVIDIA,2263,Professional/Quadro
Quadro K620,NVIDIA,2246,Professional/Quadro
FirePro V8800,AMD,2223,Professional/Quadro
Quadro P520,NVIDIA,2126,Professional/Quadro
FirePro M5100,AMD,2103,Professional/Quadro
Quadro 5000M,NVIDIA,2060,Professional/Quadro
FirePro V7800,AMD,2034,Professional/Quadro
Quadro M600M,NVIDIA,2008,Professional/Quadro
Quadro 5000,NVIDIA,1982,Professional/Quadro
Quadro M520,NVIDIA,1981,Professional/Quadro
Quadro K4000M,NVIDIA,1949,Professional/Quadro
FirePro M6100,AMD,1945,Professional/Quadro
Matrox C680 PCIe x16,Unknown,1904,Embedded/ISV
Quadro 5010M,NVIDIA,1891,Professional/Quadro
FirePro 3D V7800,AMD,1867,Professional/Quadro
