gpu_name,benchmark_score,tier
RTX 5090,64000,S
RTX 5080,52000,S
RTX 6000 Ada,52000,S
RTX A6000 Ada,49500,S
RTX 5070 Ti,46000,S
RTX A5000 Ada,42000,S
PRO W7900,41000,S
RTX 5070,40000,S
RTX 4090,39819,S
RTX 5000 Ada,39800,S
RTX 5090 Laptop GPU,39000,S
RTX 4090 D,38500,S
RX 9070 XT,37800,S
RX 7900 XTX,37600,S
RTX 4080 SUPER,37500,S
RTX 4080,35817,S
RX 7900 XT,34500,S
PRO W7800,34000,S
RTX 4070 Ti SUPER,33845,S
RX 9070,33500,S
RTX 5080 Laptop GPU,32000,S
RX 7900 GRE,31700,S
RTX 4070 Ti,31600,S
RTX 4500 Ada,31000,S
RTX A4000 Ada,30500,S
RTX 4070 SUPER,30400,S
RTX 5060 Ti,30000,S
RTX 3090 Ti,29094,S
RTX 5070 Ti Laptop GPU,28000,S
RTX 4070,27600,S
PRO W7700,27500,S
RTX 4000 Ada,27500,S
RTX 3080 Ti,26887,S
RX 7800 XT,26700,S
RTX 4090 Laptop GPU,26500,S
RTX 3090,26395,S
RX 6900 XT,25458,S
RTX 4060 Ti 16GB,25300,S
RTX 3080,24853,S
RTX 4060 Ti,24600,S
RTX 5070 Laptop GPU,24000,S
RX 7700 XT,23600,S
RTX 3070 Ti,23367,S
RX 6800 XT,23364,S
RTX 4080 Laptop GPU,23200,S
RX 9060 XT,23000,S
RTX A5000,22867,S
RX 7900M,22400,S
RTX A6000,22122,S
RTX 3070,22093,S
RTX 5060,22000,S
RX 7700,21800,S
RTX 2080 Ti,21796,S
RTX A4500,21546,S
PRO W7600,21500,S
RTX 4070 Ti Laptop GPU,20800,S
RX 6800,20667,S
RTX 4060,20300,S
RTX 3060 Ti,20206,S
TITAN RTX,20169,S
Arc B580,20100,S
RX 7600 XT,19700,S
Quadro RTX 6000,19692,S
RTX 2080 SUPER,19519,S
TITAN Xp,19508,S
RTX 3080 Ti Laptop GPU,19507,S
RTX A2000 Ada,19500,S
Arc A770,19300,S
Quadro RTX 8000,19126,S
RX 9060,19000,S
RX 6700 XT,18993,S
RTX A4000,18988,S
RTX 4070 Laptop GPU,18900,S
TITAN V,18816,S
PRO W6800,18802,S
RTX 2080,18732,S
TITAN Xp COLLECTORS EDITION,18721,S
RX 7800M,18600,S
RTX 3070 Ti Laptop GPU,18490,S
GTX 1080 Ti,18284,S
RTX 2070 SUPER,18168,S
RX 7600,17900,S
Quadro GV100,17675,S
Arc A750,17100,S
RTX 5060 Laptop GPU,17000,S
TITAN V CEO Edition,16988,S
RTX 3060,16958,S
RX 5700 XT,16892,S
Pro VII,16853,S
Arc B580M,16800,S
RX 7700S,16800,S
VII,16767,S
RX 5700 XT 50th Anniversary,16650,S
RTX 3080 Laptop GPU,16522,S
RTX 2060 SUPER,16514,S
RTX A4000 Laptop GPU,16297,S
RTX A5000 Laptop GPU,16273,S
Quadro RTX 5000,16260,S
Tesla V100 SXM2 16GB,16235,S
Quadro GP100,16203,S
Arc B570,16200,S
RTX 4050,16100,S
RTX 2070,16079,S
RadeonT RX 6850M,15899,S
RX 6600 XT,15853,S
Quadro P6000,15811,S
RTX 4060 Laptop GPU,15800,S
Quadro RTX 4000,15515,S
GTX 1080,15265,S
RTX 3070 Laptop GPU,15231,S
RTX 2080 (Mobile),15107,S
Pro W5700,15085,S
RX 7600M XT,15000,S
PRO W7500,15000,S
Quadro RTX 5000 (Mobile),14832,S
Arc A580,14800,S
Pro Vega II,14738,S
RX 5700,14729,S
RX Vega 64,14636,S
Pro Vega 64X,14630,S
RX 7500 XT,14500,S
GTX 1070 Ti,14500,S
RTX 2070 Super with Max Q Design,14261,S
PRO W6600,14212,S
Arc A730M,14200,S
Pro WX 8200,14110,S
RTX 2080 Super with Max Q Design,14020,S
RTX 2060,13953,S
Quadro RTX 5000 with Max Q Design,13893,S
RX 6600,13881,S
GTX 980 Ti,13864,S
RX 5600 XT,13836,S
Vega Frontier Edition,13748,S
RTX A2000 12GB,13688,S
RTX 2080 with Max Q Design,13681,S
TITAN X,13660,S
RX Vega 56,13636,S
Quadro RTX 4000 with Max Q Design,13622,S
GTX 1070,13482,S
Tesla T10,13264,S
RTX A3000 Laptop GPU,13263,S
Pro WX 9100,13241,S
RX 7600S,13200,S
GTX TITAN X,13173,S
RTX A2000,13128,S
Quadro RTX 4000 (Mobile),13008,S
Pro V520 MxGPU,12853,S
RX 7600M,12800,S
GTX 1660 SUPER,12732,S
RTX 3050,12718,S
RTX 3060 Laptop GPU,12674,S
Pro 5700 XT,12537,S
Pro Vega 64,12402,S
RTX 4050 Laptop GPU,12400,S
Pro Vega 56,12386,S
RTX 2070 (Mobile),12354,S
Quadro P5200 with Max Q Design,12323,S
Quadro M6000 24GB,12264,S
Quadro P5200,12144,S
RTX 2070 with Max Q Design,12062,S
RX 6700S,11989,S
Quadro P5000,11976,S
Quadro P4200 with Max Q Design,11869,S
Pro 5700,11844,S
GTX 1660 Ti,11794,S
GTX 1660,11695,S
Tesla M40 24GB,11658,S
GTX 1080 with Max Q Design,11507,S
Pro Vega 48,11504,S
RX 6700M,11499,S
Quadro P4000,11422,S
Quadro M6000,11397,S
RTX 2060 (Mobile),11355,S
GTX 980,11237,S
Arc A550M,11200,S
Quadro RTX 3000,11122,S
Tesla T4,11113,S
RX 5600,11030,S
Pro SSG,10498,S
Instinct MI25 MxGPU,10466,S
GTX 1070 (Mobile),10465,S
Pro 5600M,10200,S
GTX 1660 Ti (Mobile),10176,S
RTX A2000 Laptop GPU,10148,S
Tesla M40,10117,S
R9 Fury X,10088,S
GTX 1060,10070,S
GTX 1650 SUPER,10032,S
GTX 1070 with Max Q Design,10030,S
RTX A3000 12GB Laptop GPU,9975,S
Quadro P4200,9827,S
RTX 2060 with Max Q Design,9743,S
R9 Fury + Fury X,9741,S
GTX 1060 3GB,9728,S
GTX 970,9688,S
RX 590,9665,S
Arc A530M,9600,S
R9 Fury,9551,S
R9 390X,9503,S
Quadro P2200,9486,S
RTX 3050 Ti Laptop GPU,9452,S
RX 6500 XT,9445,S
GTX 780 Ti,9312,S
Pro W5500,9269,S
Quadro M5000,9262,S
Quadro P3200 with Max Q Design,9242,S
GTX TITAN Z,9189,S
RX 5500 XT,9188,S
GTX TITAN Black,9140,S
RX 6600M,9094,S
Quadro P4000 with Max Q Design,9083,S
RTX 3050 Laptop GPU,9037,S
RX 6800M,9012,S
R9 390,9008,S
RX 580,8907,S
RX 5500,8817,S
R9 290X,8794,S
Quadro RTX 3000 with Max Q Design,8754,A
GTX 1060 5GB,8704,A
Arc A380,8700,A
RX 480,8674,A
Quadro P3200,8663,A
GTX 1660 Ti with Max Q Design,8646,A
RX590 GME,8628,A
R9 295X2,8619,A
GTX Titan,8556,A
R9 290,8409,A
R9 290X / 390X,8389,A
Pro Duo,8324,A
Pro 5500 XT,8298,A
15FF,8229,A
Arc A370M,8200,A
GTX 1060 (Mobile),8161,A
R9 290 / 390,8150,A
Quadro K6000,8108,A
RX 470/570,8070,A
GTX 780,8022,A
RTX 2050,8007,A
Quadro M5500,7915,A
GTX 1060 with Max Q Design,7907,A
T1200 Laptop GPU,7884,A
T1000,7829,A
Pro WX 7100,7822,A
GTX 1650,7807,A
RX 580X,7798,A
Tesla M60,7771,A
RX 580 2048SP,7768,A
T1000 8GB,7760,A
Pro 580,7753,A
FirePro W9100,7719,A
RX 5300,7611,A
Pro 580X,7540,A
Pro 5300,7522,A
Tesla M6,7509,A
GTX 1650 Ti,7490,A
FirePro W8100,7327,A
RadeonT RX 5300,7321,A
GTX 980M,7317,A
Tesla P100 PCIE 16GB,7225,A
